,V1,V2,,,
1,10191229,4412,,,
2,10191213,4412176,,,
3,1019122110,44111912,,,
4,10191110,432121,,,
5,10191210,44122027,,,
6,10191215,4410163,,,
7,1019121911,4411195,,,
8,1019121210,441215,,,
9,10191015,551015,,,
10,1015,4412214,,,
11,10191227,441031,,,
12,10191313,432121,,,
13,101015,5610154,,,
14,121613,441031,,,
15,101913,4411197,,,
16,1019122112,551216,,,
17,1019121810,441031,,,
18,10191313,441031,,,
19,10191312,43211711,,,
20,101016,141118,,,
21,10191224,551216,,,
22,1019122311,841116,,,
23,101012,432119,,,
24,1019122310,5512184,,,
